date,open,high,low,close,price,volume
2023-09-15,277.55,278.98,271.0,274.39,274.39,133422800
2023-09-14,271.32,276.71,270.42,276.04,276.04,107709800
2023-09-13,270.07,274.98,268.1,271.3,271.3,111673700
2023-09-12,270.76,278.39,266.6,267.48,267.48,135999900
2023-09-11,264.27,274.85,260.61,273.58,273.58,174667900
2023-09-08,251.22,256.52,246.67,248.5,248.5,118367700
2023-09-07,245.07,252.81,243.27,251.49,251.49,115312900
2023-09-06,255.14,255.39,245.06,251.92,251.92,116959800
2023-09-05,245.0,258.0,244.86,256.49,256.49,129469600
2023-09-01,257.26,259.08,242.01,245.01,245.01,132272500
2023-08-31,255.98,261.18,255.05,258.08,258.08,108861700
2023-08-30,254.2,260.51,250.59,256.9,256.9,121988400
